"income" "grad.flg"
0.0174262512312271 0
0.0312685830355622 1
0.133709667539224 0
0.26087039490696 1
0.266978319757618 0
0.279513975258451 0
0.379975595567375 1
0.414974360330962 1
0.436308519928716 1
0.446524850493297 0
0.465044843594078 1
0.597447064106818 0
0.616212807209231 1
0.674651033109985 0
0.681421861110721 0
0.738110227554571 0
0.846263116821647 1
0.880174915483221 0
0.896773872668855 1
0.99127873582067 1
0.995258659489919 0
1.00875347211724 1
1.05033584810793 1
1.09009263946442 1
1.11986339905299 0
1.16438221903518 1
1.26650255740155 0
1.34473126229597 0
1.4590412706323 1
1.46005528919166 1
1.58921846165787 1
1.79715543127852 1
2.06111548956018 0
2.06454005281674 0
2.08098032100592 0
2.13788316142512 0
2.23034642112674 1
2.3661171400547 0
2.38860729942098 0
2.41343639228493 1
2.56137756442884 1
2.60291524638887 1
2.708194552965 0
2.86182034963276 1
2.86980997153558 0
2.93602413037792 1
2.94509289482841 0
2.95166292852955 0
2.98563286441378 1
3.04171595837921 1
3.04767442969372 1
3.13350427245023 0
3.38246625523316 0
3.52796332157683 0
3.54360039157793 0
3.56192637004657 1
3.59663816666929 1
3.64888606922235 0
3.68170570053859 1
3.69925627675606 1
3.82835711126449 0
3.89069059265312 0
3.9219921451807 1
3.95406510772184 1
3.95536879229592 1
4.08191169395577 1
4.10663821443915 1
4.11102869210066 1
4.17593752357643 0
4.25081827335758 1
4.36053352124756 1
4.4398792410735 0
4.46200580316596 1
4.58469002316007 1
4.64749948897865 0
4.70003557287622 1
4.79978619007859 1
4.83497575105634 1
4.85829046491301 1
4.8722178888903 1
4.89314471851103 1
5.05995949133998 1
5.14421237644972 0
5.21039234729717 1
5.21089647749206 1
5.27416033075657 1
5.29552903797245 1
5.30937288383255 1
5.33447832545731 1
5.38918785040034 1
5.43386274966178 1
5.45268631374231 1
5.48129365440924 1
5.48339854595019 1
5.51710462473333 1
5.57560110399965 1
5.6307667627302 1
5.66571368437726 1
5.66694534495473 1
5.77960764502175 1
